"","Numer tygodnia","Cena"
"1","2016-01-04",122.085878962536
"2","2016-01-05",120.68130690948
"3","2016-01-06",120.928258488499
"4","2016-01-07",120.958896396396
"5","2016-01-08",127.640852974186
"6","2016-01-09",127.330818965517
"7","2016-01-10",120.001991040319
"8","2016-01-11",118.988942307692
"9","2016-01-12",118.720908230842
"10","2016-01-13",118.680019074869
"11","2016-01-14",118.930582524272
"12","2016-01-15",127.609154929577
"13","2016-01-16",128.339112697603
"14","2016-01-17",122.727316602317
"15","2016-01-18",121.740475123263
"16","2016-01-19",119.301671064204
"17","2016-01-20",118.68370467453
"18","2016-01-21",119.488691796009
"19","2016-01-22",126.760752688172
"20","2016-01-23",127.000894454383
"21","2016-01-24",120.288763066202
"22","2016-01-25",118.232765957447
"23","2016-01-26",117.737691001698
"24","2016-01-27",118.148863148863
"25","2016-01-28",117.685413005272
"26","2016-01-29",124.6
"27","2016-01-30",124.936781609195
"28","2016-01-31",119.159628378378
"29","2016-02-01",119.973476999586
"30","2016-02-02",119.476210008203
"31","2016-02-03",120.259532595326
"32","2016-02-04",121.506694560669
"33","2016-02-05",127.844444444444
"34","2016-02-06",128.52731092437
"35","2016-02-07",123.492344883159
"36","2016-02-08",121.609231993633
"37","2016-02-09",121.348754448399
"38","2016-02-10",121.560647965231
"39","2016-02-11",123.087726358149
"40","2016-02-12",132.958620689655
"41","2016-02-13",133.779055441478
"42","2016-02-14",127.464983713355
"43","2016-02-15",125.353894820087
"44","2016-02-16",123.292692457991
"45","2016-02-17",122.572319688109
"46","2016-02-18",122.560718469348
"47","2016-02-19",128.98640776699
"48","2016-02-20",129.112142304718
"49","2016-02-21",122.646095238095
"50","2016-02-22",121.809977151561
"51","2016-02-23",121.616203879802
"52","2016-02-24",121.234440626193
"53","2016-02-25",121.32127741439
"54","2016-02-26",128.278330781011
"55","2016-02-27",128.751150306748
"56","2016-02-28",123.054434716407
"57","2016-02-29",121.673684210526
"58","2016-03-01",123.486131934033
"59","2016-03-02",123.256371814093
"60","2016-03-03",124.66391288021
"61","2016-03-04",133.030212607236
"62","2016-03-05",133.301267710664
"63","2016-03-06",126.261702911906
"64","2016-03-07",125.708719851577
"65","2016-03-08",125.947231512449
"66","2016-03-09",126.152844923763
"67","2016-03-10",126.781912914031
"68","2016-03-11",133.896243956861
"69","2016-03-12",134.28507295174
"70","2016-03-13",127.771481481481
"71","2016-03-14",126.774241302739
"72","2016-03-15",126.319290465632
"73","2016-03-16",126.597941933113
"74","2016-03-17",128.923669724771
"75","2016-03-18",135.324324324324
"76","2016-03-19",134.839882482556
"77","2016-03-20",127.353783982366
"78","2016-03-21",126.540620384047
"79","2016-03-22",126.562176165803
"80","2016-03-23",126.665188470067
"81","2016-03-24",128.383872166481
"82","2016-03-25",136.217407407407
"83","2016-03-26",136.43637697103
"84","2016-03-27",128.536594202899
"85","2016-03-28",126.779593318809
"86","2016-03-29",126.738276990185
"87","2016-03-30",126.513100436681
"88","2016-03-31",127.815245009074
"89","2016-04-01",135.682795698925
"90","2016-04-02",140.131121003642
"91","2016-04-03",132.859831798158
"92","2016-04-04",132.336526946108
"93","2016-04-05",132.067702110713
"94","2016-04-06",132.390606182256
"95","2016-04-07",135.567996742671
"96","2016-04-08",142.65162601626
"97","2016-04-09",143.22551808208
"98","2016-04-10",135.840591290451
"99","2016-04-11",132.660608455156
"100","2016-04-12",132.172712933754
"101","2016-04-13",132.223316266247
"102","2016-04-14",133.788560157791
"103","2016-04-15",140.523360816647
"104","2016-04-16",140.601648351648
"105","2016-04-17",132.889760690467
"106","2016-04-18",132.326138147567
"107","2016-04-19",132.126865671642
"108","2016-04-20",132.080835962145
"109","2016-04-21",131.501183898974
"110","2016-04-22",138.679542767048
"111","2016-04-23",139.262430939227
"112","2016-04-24",131.382978723404
"113","2016-04-25",131.554202670856
"114","2016-04-26",131.956095648765
"115","2016-04-27",132.057948316366
"116","2016-04-28",132.446442533229
"117","2016-04-29",140.213172252533
"118","2016-04-30",140.081672528331
"119","2016-05-01",135.966549980552
"120","2016-05-02",135.720187061574
"121","2016-05-03",135.298478345689
"122","2016-05-04",134.868935837246
"123","2016-05-05",136.187353629977
"124","2016-05-06",143.608813297255
"125","2016-05-07",143.681765389082
"126","2016-05-08",135.282180131426
"127","2016-05-09",135.608123791103
"128","2016-05-10",135.408897485493
"129","2016-05-11",135.005417956656
"130","2016-05-12",137.051222351572
"131","2016-05-13",144.276372129233
"132","2016-05-14",144.201086956522
"133","2016-05-15",135.771163509857
"134","2016-05-16",135.931353644427
"135","2016-05-17",136.089437162683
"136","2016-05-18",136.101426918627
"137","2016-05-19",137.538252427184
"138","2016-05-20",144.831591173055
"139","2016-05-21",145.128095975232
"140","2016-05-22",138.156286266925
"141","2016-05-23",138.959199384142
"142","2016-05-24",138.08978805395
"143","2016-05-25",138.377657518361
"144","2016-05-26",140.047600468201
"145","2016-05-27",150.278318411833
"146","2016-05-28",150.2289483896
"147","2016-05-29",143.457508731083
"148","2016-05-30",143.233836624081
"149","2016-05-31",141.340706247575
"150","2016-06-01",143.739619712844
"151","2016-06-02",144.886682242991
"152","2016-06-03",151.240046838407
"153","2016-06-04",150.948748043818
"154","2016-06-05",144.334243369735
"155","2016-06-06",144.507387247278
"156","2016-06-07",144.401629802095
"157","2016-06-08",143.425457376411
"158","2016-06-09",144.041306058222
"159","2016-06-10",149.544948289578
"160","2016-06-11",149.708035003978
"161","2016-06-12",143.458382642998
"162","2016-06-13",144.231311154599
"163","2016-06-14",144.595005852517
"164","2016-06-15",144.57744830277
"165","2016-06-16",147.175438596491
"166","2016-06-17",153.338527463966
"167","2016-06-18",153.862592448423
"168","2016-06-19",147.688588007737
"169","2016-06-20",146.930501930502
"170","2016-06-21",147.318339100346
"171","2016-06-22",147.063534847901
"172","2016-06-23",147.556971803785
"173","2016-06-24",153.201619121049
"174","2016-06-25",153.247113163972
"175","2016-06-26",147.617568085923
"176","2016-06-27",147.715434699349
"177","2016-06-28",147.705657492355
"178","2016-06-29",147.623182861515
"179","2016-06-30",148.390421455939
"180","2016-07-01",157.48
"181","2016-07-02",157.080966511234
"182","2016-07-03",151.75296108291
"183","2016-07-04",151.402361872628
"184","2016-07-05",150.522832006703
"185","2016-07-06",150.200836820084
"186","2016-07-07",150.709569577936
"187","2016-07-08",156.260469011725
"188","2016-07-09",156.448160535117
"189","2016-07-10",150.30253849355
"190","2016-07-11",149.86625
"191","2016-07-12",150.058503969912
"192","2016-07-13",150.656784968685
"193","2016-07-14",150.762144053601
"194","2016-07-15",156.365384615385
"195","2016-07-16",155.859113712375
"196","2016-07-17",150.524781341108
"197","2016-07-18",149.916458852868
"198","2016-07-19",149.515540820555
"199","2016-07-20",148.91867219917
"200","2016-07-21",149.840663900415
"201","2016-07-22",155.067803660566
"202","2016-07-23",155.532971619366
"203","2016-07-24",150.029987505206
"204","2016-07-25",150.204678362573
"205","2016-07-26",150.124843945069
"206","2016-07-27",149.655458696555
"207","2016-07-28",150.079767345243
"208","2016-07-29",155.26600166251
"209","2016-07-30",155.195244055069
"210","2016-07-31",149.590531561462
"211","2016-08-01",148.679151061174
"212","2016-08-02",149.040765391015
"213","2016-08-03",149.133858267717
"214","2016-08-04",149.774741200828
"215","2016-08-05",154.707317073171
"216","2016-08-06",154.766597938144
"217","2016-08-07",149.411280362289
"218","2016-08-08",149.972984036021
"219","2016-08-09",149.749384741591
"220","2016-08-10",149.813420621931
"221","2016-08-11",149.692748873413
"222","2016-08-12",154.795760293518
"223","2016-08-13",154.707366707367
"224","2016-08-14",148.540562576437
"225","2016-08-15",148.876217532468
"226","2016-08-16",148.377642276423
"227","2016-08-17",148.648845686513
"228","2016-08-18",149.375101378751
"229","2016-08-19",154.369529983793
"230","2016-08-20",154.722379603399
"231","2016-08-21",148.701209677419
"232","2016-08-22",148.676045016077
"233","2016-08-23",149.135178499799
"234","2016-08-24",149.410986367281
"235","2016-08-25",150.525682182986
"236","2016-08-26",155.683326669332
"237","2016-08-27",155.716679968077
"238","2016-08-28",149.295971280415
"239","2016-08-29",148.812749003984
"240","2016-08-30",148.717693836978
"241","2016-08-31",148.536817102138
"242","2016-09-01",147.37316395395
"243","2016-09-02",152.636869288836
"244","2016-09-03",152.494845360825
"245","2016-09-04",145.329652996845
"246","2016-09-05",142.087264150943
"247","2016-09-06",140.924100156495
"248","2016-09-07",140.711215318484
"249","2016-09-08",142.007809449434
"250","2016-09-09",147.78699376947
"251","2016-09-10",147.973141300117
"252","2016-09-11",140.810042818217
"253","2016-09-12",140.55832037325
"254","2016-09-13",140.489105058366
"255","2016-09-14",140.584597432905
"256","2016-09-15",141.981719175418
"257","2016-09-16",147.830291262136
"258","2016-09-17",147.817300232739
"259","2016-09-18",140.380527540729
"260","2016-09-19",139.967441860465
"261","2016-09-20",139.862068965517
"262","2016-09-21",139.820820433437
"263","2016-09-22",141.204160246533
"264","2016-09-23",146.968858131488
"265","2016-09-24",146.958509412217
"266","2016-09-25",139.978135788262
"267","2016-09-26",139.530878404296
"268","2016-09-27",139.488309697202
"269","2016-09-28",139.493297587131
"270","2016-09-29",139.621125143513
"271","2016-09-30",145.644902634593
"272","2016-10-01",143.560640732265
"273","2016-10-02",135.139992432841
"274","2016-10-03",135.037778617303
"275","2016-10-04",134.933131847374
"276","2016-10-05",134.862108046845
"277","2016-10-06",136.462061155153
"278","2016-10-07",142.609875612514
"279","2016-10-08",142.953637391632
"280","2016-10-09",135.414404223228
"281","2016-10-10",134.985660377358
"282","2016-10-11",134.89358490566
"283","2016-10-12",134.92951375801
"284","2016-10-13",135.939313984169
"285","2016-10-14",142.169676448457
"286","2016-10-15",142.203912716328
"287","2016-10-16",134.704177643959
"288","2016-10-17",134.675319789315
"289","2016-10-18",134.644360902256
"290","2016-10-19",134.706766917293
"291","2016-10-20",135.694705219677
"292","2016-10-21",141.809523809524
"293","2016-10-22",141.885682158921
"294","2016-10-23",134.5808023997
"295","2016-10-24",134.479400749064
"296","2016-10-25",134.517616191904
"297","2016-10-26",134.508239700375
"298","2016-10-27",135.232035928144
"299","2016-10-28",141.487485991782
"300","2016-10-29",141.408056695263
"301","2016-10-30",133.931021625653
"302","2016-10-31",133.689526649273
"303","2016-11-01",133.453293636025
"304","2016-11-02",133.502602230483
"305","2016-11-03",134.391239792131
"306","2016-11-04",140.631813125695
"307","2016-11-05",140.663083765752
"308","2016-11-06",133.272324723247
"309","2016-11-07",133.115498154982
"310","2016-11-08",133.072298045002
"311","2016-11-09",133.044247787611
"312","2016-11-10",133.823377581121
"313","2016-11-11",140.070272259014
"314","2016-11-12",140.148420279206
"315","2016-11-13",133.382806759736
"316","2016-11-14",133.377019089574
"317","2016-11-15",133.617247706422
"318","2016-11-16",133.676934360103
"319","2016-11-17",134.52695269527
"320","2016-11-18",140.830527086384
"321","2016-11-19",140.913648005854
"322","2016-11-20",134.333211411851
"323","2016-11-21",134.198757763975
"324","2016-11-22",134.303935860058
"325","2016-11-23",134.980699198835
"326","2016-11-24",136.054989075018
"327","2016-11-25",141.726082211713
"328","2016-11-26",141.551109494362
"329","2016-11-27",134.953488372093
"330","2016-11-28",133.462767889575
"331","2016-11-29",132.786802030457
